date, pm25, pm10, o3, no2, so2, co
2019/9/14, 105, 73, 9, 2, 4, 5
2019/9/15, 113, 77, 11, 3, 5, 4
2019/9/16, 111, 74, 8, 6, 4, 5
2019/9/17, 122, 72, 11, 7, 5, 4
2019/9/18, 128, 56, 18, 15, 5, 4
2019/9/19, 113, 47, 15, 12, 5, 6
2019/9/20, 78, 55, 15, 20, 4, 7
2019/9/21, 80, 61, 16, 10, 4, 6
2019/9/22, 88, 48, 18, 5, 4, 9
2019/9/23, 81, 57, 21, 6, 4, 10
2019/9/24, 90, 63, 19, 6, 4, 12
2019/9/25, 115, 57, 17, 5, 5, 11
2019/9/26, 90, 40, 8, 4, 3, 8
2019/9/27, 67, 55, 10, 6, 9, 8
2019/9/28, 91, 60, 9, 2, 3, 9
2019/9/29, 100, 59, 12, 9, 3, 10
2019/9/30, 114, 56, 21, 9, 3, 11
2019/4/1, 90, 57, 29, 16, 5, 10
2019/4/2, 101, 59, 27, 15, 6, 10
2019/4/3, 85, 63, 24, 14, 7, 12
2019/4/4, 91, 61, 25, 15, 7, 8
2019/4/5, 89, 62, 23, 19, 6, 6
2019/4/6, 99, 61, 22, 4, 5, 6
2019/4/7, 96, 61, 21, 5, 7, 6
2019/4/8, 91, 65, 23, 4, 5, 7
2019/4/9, 92, 50, 21, 5, 5, 6
2019/4/10, 81, 54, 23, 7, 5, 8
2019/4/11, 92, 52, 25, 8, 5, 6
2019/4/12, 85, 56, 32, 10, 7, 7
2019/4/13, 86, 53, 34, 9, 5, 7
2019/4/14, 84, 73, 25, 10, 7, 7
2019/4/15, 111, 150, 22, 8, 6, 8
2019/4/16, 130, 37, 31, 8, 5, 6
2019/4/17, 51, 40, 37, 9, 5, 5
2019/4/18, 64, 31, 43, 6, 5, 4
2019/4/19, 68, 43, 43, 11, 6, 7
2019/4/20, 62, 53, 43, 12, 6, 9
2019/4/21, 69, 54, 43, 12, 6, 10
2019/4/22, 76, 54, 38, 11, 5, 8
2019/4/23, 77, 47, 40, 9, 5, 7
2019/4/24, 69, 46, 35, 8, 6, 5
2019/4/25, 66, 50, 23, 9, 4, 8
2019/4/26, 71, 53, 26, 10, 6, 5
2019/4/27, 105, 60, 32, 9, 4, 6
2019/4/28, 123, 56, 23, 7, 5, 5
2019/4/29, 111, 66, 23, 9, 6, 8
2019/4/30, 99, 113, 31, 8, 5, 7
2019/5/1, 137, 74, 35, 8, 6, 5
2019/5/2, 98, 74, 36, 11, 5, 8
2019/5/3, 117, 71, 25, 13, 7, 7
2019/5/4, 114, 65, 33, 11, 6, 6
2019/5/5, 94, 55, 31, 10, 5, 8
2019/5/6, 75, 55, 30, 8, 7, 6
2019/5/7, 80, 58, 26, 7, 5, 9
2019/5/8, 89, 58, 23, 8, 6, 7
2019/5/9, 90, 55, 21, 7, 6, 9
2019/5/10, 78, 67, 16, 8, 5, 9
2019/5/11, 92, 69, 22, 8, 5, 8
2019/5/12, 85, 50, 19, 9, 5, 10
2019/5/13, 81, 70, 23, 8, 6, 10
2019/5/14, 134, 100, 17, 9, 5, 8
2019/5/15, 151, 73, 18, 8, 6, 6
2019/5/16, 123, 138, 18, 7, 6, 5
2019/5/17, 101, 52, 24, 7, 4, 5
2019/5/18, 94, 37, 30, 7, 5, 4
2019/5/19, 78, 47, 16, 8, 5, 6
2019/5/20, 110, 51, 16, 7, 5, 6
2019/5/21, 114, 66, 17, 7, 6, 6
2019/5/22, 91, 88, 19, 7, 4, 6
2019/5/23, 96, 132, 21, 8, 6, 5
2019/5/24, 156, 82, 32, 10, 5, 5
2019/5/25, 139, 64, 26, 11, 5, 6
2019/5/26, 140, 74, 16, 9, 5, 8
2019/5/27, 130, 83, 24, 10, 7, 7
2019/5/28, 141, 79, 20, 11, 6, 8
2019/5/29, 141, 76, 20, 14, 7, 11
2019/5/30, 141, 103, 21, 16, 8, 10
2019/5/31, 143, 93, 18, 11, 6, 10
2019/6/1, 113, 101, 24, 9, 6, 10
2019/6/2, 125, 102, 19, 7, 7, 10
2019/6/3, 163, 109, 17, 7, 7, 8
2019/6/4, 148, 76, 22, 6, 6, 9
2019/6/5, 148, 81, 23, 5, 6, 9
2019/6/6, 125, 76, 28, 3, 6, 9
2019/6/7, 147, 68, 31, 4, 6, 9
